Question;Correct Choice;Ground Truth Explanation;Generated Explanation (T5);Generated Explanation (LLaMA);Ground Truth Ratings;T5 Ratings;T5 Human Ratings 1;T5 Human Ratings 2;LLaMA Ratings;LLaMA Human Ratings 1;LLaMA Human Ratings 2;T5 Similarity;LLaMA Similarity;T5 BERTScore;LLaMA BERTScore;T5 BLEURT;LLaMA BLEURT
The star was lonely, what did it wish it was part of?;constellation;A constellation is a group of stars. Since the star was lonely so it wish that it was a part of constellation. Hollywood dont suits here. Night sky is not a correct option. The star might not wish to be a part of atmosphere. A lonely star is not a part of solar system.;star is a constellation;Constellations contain lots of stars which form shapes together just like a group or cluster. Stars alone don't seem like something that could keep someone company so the correct option would be 'constellation'. Other answers will only lead to confusion since;"supports: 2
overall: 3
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 2
overall: 0
well_written: 1
related: 0
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 2
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 2
overall: 3
well_written: 1 
related: 0
factual: 0
new_info: 2
unnecessary_info: 0
contrastive: 1";0.72;0.67;0.85;0.85;-1.57;-0.44
Who was the head of the branch yelling at?;subordinate;Subordinate means a lower rank or position and higher rank people generally yell at lower rank people. Head of the branch is a higher rank to subordinate. Head of the branch cannot yell at owner as owner owns the branch and all the other options are not people to be yelled at.;subordinates are the ones who are yelling at the head of the branch.;Yell or shout is used by people who hold higher position than others. People with lower positions don’t usually raise their voice while speaking. Head of any organization has higher authority over employees working under him/her and therefore raises her/his;"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 2
overall: 0
well_written: 1
related: 0
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 0
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 2
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";0.84;0.61;0.85;0.85;-1.18;-0.37
Where does someone lay with their leg elevated when it's broken?;hospital bed;Hospital bed is a bed having side rails that can be raised or lowered and a mattress base in three jointed sections so that the head, foot or middle may be raised by a crank or motor, allowing a patient to lie in various positions, as a therapeutic aid or for comfort. Someone lay with their leg elevated in a hospital bed when it's broken. Spinning wheel is not for patients to lie-down with their leg elevated. Ladder is used for climbing up or down and not for someone laying with their leg elevated. Legroom is space for a seated person to put his legs and not for someone to lay with their leg elevated. Grand piano is a musical instrument and not a bed to lay down for someone with broken leg.;hospital bed is a place where someone lay with their leg elevated when it's broken.;When legs break or any part breaks then we take help of Hospital Bed which has side bars attached by which person gets support while lying down and his/her legs raised upwards.;"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 2
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 2
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 2
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 0
contrastive: 1";0.78;0.57;0.87;0.83;-0.95;-0.97
The gun was uncomfortable tucked in her pants, where did she put it?;holster;A holster is a holder for carrying a handgun or other firearm and a gun comes under a handgun or firearm. All the other options are not appropriate places for a gun.;holsters are used to keep guns in their pockets.;In order to carry something comfortably it has to fit properly into your pocket or waistband. Holsters hold guns so they don’t fall while being carried around by people who want them handy.;"supports: 1
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 0
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 0
factual: 0
new_info: 2 
unnecessary_info: 0
contrastive: 1";0.75;0.7;0.86;0.86;-0.25;-0.3
His shot was bad and he found himself stabbing to death the buck, it was what everywhere?;bleeding;Due to his bad shot, it was bleeding everywhere. He found himself stabbing to death the buck and it results into bleeding everywhere because his shot was bad. There cant be killing everywhere. Coughing is not a correct option. Mess dont suits here. Just because of a bad shot, a person might not get imprisonment.;bleeding is a common reaction to a shot.;In hunting, if someone shoots wrongly then there will be bloodshed or killing of animal which causes the hunter to kill him/herself with weapon.;"supports: 0
overall: 3
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 3
well_written: 1
related: 0
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 0
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";0.68;0.54;0.85;0.85;-1.2;-0.76
Where will you find an automobile that has broken down?;side of road;Automobile has broken down means it has stopped while driving and side of road is a place where automobile stops while driving. So one can find an automobile that has broken down on the side of a road. Freeway also has a side of road and the other options are not places where one would find automobiles that are broken down.;automobiles are often found on the side of road.;Automobiles breakdown most frequently by being left unattended or while traveling along highways. If someone were driving their vehicle up onto your property then they would likely stop somewhere else first. Automobiles rarely breakdown inside people's;"supports: 3
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 3
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 3
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 3
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 3
unnecessary_info: 0
contrastive: 1";"supports: 3
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 0
contrastive: 1";0.62;0.57;0.87;0.85;-1.09;-0.3
What do people in love do after they get married?;reproduce;When two people in love get married, physical attraction leads them to reproduce. All other options are not valid as not all marriages last forever wheras hurt is not realted to just marraige. Other two options are grammatically incomplete.;reproduction is the only way to reproduce.;Reproduce means to produce offspring or children. When two individuals who are in love marry eachother then they will start producing kids. They also become responsible parents which requires them to take care of their child. This question was asked with the;"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 0
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 0 
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 1
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 0
contrastive: 1";0.36;0.44;0.84;0.85;-1.41;-0.77
The sloppy dad saw the random stuff in the kitchen, and didn't know where to put it, where did he decide to place it?;cabinet;The random stuff is placed in cabinet in the kitchen. The sloppy dad didn't know where to put the random stuff in the kitchen so he decided to place it at the cabinet. Anything is not a place where random stuff can be put. Cupboard might not be found in the kitchen. The sloppy dad didn't place random stuff at michigan. The random stuff cant be placed on the table.;the sloppy dad saw the random stuff in the kitchen, and didn't know where to put it, where did he decide to place it cabinet;The father placed all the dirty plates into the sink or cupboard so no one could see them. Sink was used only by him and his wife while everyone else had their own places to keep things away. If there were guests over, then;"supports: 4
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 1
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 2
well_written: 1
related: 0
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 4
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 0
contrastive: 1";0.79;0.52;0.89;0.84;-0.44;-0.65
He leaned the beam over the flooded gap to create a makeshift what?;bridge;Bridge is a structure making a path between two ends with a gap and leaning a beam over the flooded gap will create a path that is a makeshift bridge. New construction comes under a bridge and leaning a beam will not create what’s given in the other options.;a bridge is a structure that is made of a beam.;"Bridge implies two opposite banks connected by something else. When water gushes through the gap, we fill it with mud or soil which creates a kind of a small pathway between both ends. Hence, we call them bridges.

";"supports: 1
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 1
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 0
related: 0
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";0.81;0.75;0.87;0.86;-1.36;-0.52
John is getting something important.  What does this make him feel?;being happy;People become happy and content on receiving something valuable. Receiving something important doesn't make people stoic, and doesn't necessarily cause headaches or make people want more.;getting something important is a feeling of being happy.;Being important makes someone feel good or happy.;"supports: 3
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 3
overall: 2
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 3
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 3
overall: 2
well_written: 0
related: 0
factual: 1
new_info: 0 
unnecessary_info: 0
contrastive: 1";"supports: 3
overall: 3
well_written: 0
related: 0
factual: 1
new_info: 0
unnecessary_info: 0
contrastive: 1";0.66;0.6;0.86;0.87;-0.36;-0.56
What in a car could have an led?;dashboard;Dashboard is the panel facing the driver of a vehicle or the pilot of an aircraft. Dashboard in a car could have an LED. Electronics is a branch of study and not an equipment to be placed on a dashboard. Electronic equipment is the type of electronic device and not the component. Display is the display technology. LCD, LED, ELD, PDP and QLED are the different types of display technology. PC board is a printed circuit board and it is not found on car dashboards.;dashboards are used to show the interior of cars.;Led stands for light-emitting diode which is used widely today due its low energy consumption. In cars, the dashboards usually consist of LED lights such as speedometer gauges and fuel indicators. They also help provide extra illumination;"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 0
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 0";"supports: 1
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";0.63;0.56;0.85;0.84;-1.14;-0.76
The excavation workers had to take extra care to stay hydrated, what landscape might they be working?;desert;The excavation workers need to stay hydrated in desert. They might be working in desert landscape and had to take extra care. Excavation worker might not be working in city. Montana or store is not landscape. The excavation worker dont take extra care while working in egypt.;desert landscape might they be working;Excavations may occur anywhere, even in water bodies or mountainsides but these places don’t require special precautions taken by the workforce to keep themselves hydrated due to their low temperatures which is why only drylands like;"supports: 4
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 0
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 4
well_written: 1
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";0.54;0.61;0.83;0.85;-1.72;-0.39
The person was shocked when the FBI talked to her about some facebook posts, what did the person want?;freedom of expression;A person has the right to express their thoughts abd beliefs on a social platform in a democratic country. The FBI has no right threaten him or capture him due to some facebook posts. A person usually does not expect money or compliments from the FBI. FBI is not a restaurant where one can get food and water. One cannot get freedom of information from the FBI.;facebook is a social network;Freedom of speech allows people to express themselves freely without any fear or pressure from the government. In this question, Facebook is used instead of social media which has replaced traditional methods of communication such as phone calls and letters over time due to its ease-;"supports: 4
overall: 3
well_written: 0
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 0
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 0
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 4
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 4
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";0.27;0.4;0.83;0.85;-1.57;-0.49
There are different kinds of Meningitis, but it is an illness that affects the what?;brain;Meningitis is an illness that affects the brain as there is a swelling in meninges a part or portion of brain. While nursing home, Hospital and Doctor’s office being nonrelative terms and nail not a meninges.;Meningitis is a disease that affects the brain.;Meningitis is an inflammation of the membranes (meninges) covering the brain or spinal cord which causes swelling around these areas leading to fever, vomiting, stiff neck and confusion.;"supports: 0
overall: 4
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 0
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 4
well_written: 0
related: 0
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 0
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 1";0.83;0.79;0.9;0.86;-0.51;-0.3
The padding was covered with mold, he never would've seen it if he didn't pull up the what?;carpet;A carpet can be pulled up and one can see mold below it. All the other options are incorrect as they cannot be pulled up.;carpet is a type of flooring;Carpets absorb moisture so molds grow underneath them. If we don't lift the carpets then moulds wouldn't come into light.;"supports: 1
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 1
well_written: 0
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 0
contrastive: 1";0.51;0.57;0.84;0.86;-0.78;0.04
Where do people go if they are looking for a taxi?;street corner;Taxis are usually parked at the street corner when it has no rides. People can usually find a taxi at the street corner if they are looking for one. People usually cannot find a taxi at an apartment. Space shuttle is an irrelevant option. Public place is a very vague answer. Taxi is generally not parked in a garden.;street corner people go if they are looking for a taxi;If someone wants a taxi then there must be a traffic signal or any public square (street-corner) nearby so that person can easily hail down the cab without wasting time. To ask for a ride we normally stand near traffic signals;"supports: 1
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 1
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 0 
contrastive: 1";"supports: 1
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 0
contrastive: 1";0.67;0.63;0.87;0.85;-1.29;-0.51
All the movies always portray gasoline as the commodity, but he was convinced a garden would be the most valuable in a what?;wasteland;A wasteland is an unused area of land that has become barren or overgrown. Hence he was convinced that a garden would be the most valuable in a wasteland, though all movies always portray gasoline as the commodity. A garden won't be the most valuable in a hop garden. A garden cannot be started in any of the places in the other options.;a garden is a commodity, but a garden is a wasteland.;In deserts or barren lands which lacks vegetations and water, gardens will prove helpful. Gasoline is used by people living in cities who travel long distances while gardens help those residing in villages/vast areas to grow their;"supports: 4
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 4
overall: 0
well_written: 1
related: 1
factual: 1
new_info: 0
unnecessary_info: 0
contrastive: 1";"supports: 4
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 4
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 1
contrastive: 1";"supports: 4
overall: 2
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 0
contrastive: 1";0.76;0.5;0.87;0.85;-1.21;-0.44
Since we aren't immortal, people should what?;expect to die;Immortals are people who can never die. Mortals are people who can die. Humans are not immortals, hence they can die at some point. Paying bills is not related to not being an immortal. People usually do not buy pets because they are not immortals. People usually do not stay in only because they are not immortals. Eat corn is an irrelevant option.;expect to die is the only way to live.;Immortality refers to being alive forever or living without dying. In life everyone has to die so people shouldn't expect anything else.;"supports: 0
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 0
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 1
unnecessary_info: 1 
contrastive: 1";"supports: 0
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 2
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 0";0.25;0.56;0.83;0.84;-1.46;-0.64
Sean wanted to go to the Met, so he took a subway stop in what city?;new york city;In a new york city, there is the Met. As Sean wanted to go to the Met, so he took a subway stop in new york city. There is no Met in large city or toronto or metropolis.;subways are in New York City.;"New York City is the only option here since there were no mentions about any other cities or places mentioned beforehand. Therefore, we know which city should come next. If this question had been asked differently (for example if instead of ""New York""";"supports: 0
overall: 2
well_written: 0
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 1
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 0
overall: 1
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 0
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 0
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 1";0.56;0.44;0.85;0.83;-1.27;-0.68
The woman was yelling obscenities in public, and while it was entertaining for people passing by, what did her husband feel?;embarrassment;wife's yelling at husband in public entertains other people passing by and you feel embarrassment when people have fun of you. yelling cannot give happiness to husband if his wife is yelling. you dont feel fatigue due to yelling of other. fulfillment is not feeling you can have when someone is yelling. you cannot enjoy when your spouce is yelling;embarrassment is a feeling of embarrassment.;Yelling obscene words in public makes everyone around them uncomfortable. Passersby would laugh or just ignore such person. While doing so,their husbands/wives must also feel embarassed if their loved ones were;"supports: 1
overall: 1
well_written: 0
related: 1
factual: 1
new_info: 0
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 0
well_written: 1
related: 0
factual: 1
new_info: 0
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 1
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 1
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";0.19;0.52;0.85;0.85;-1.18;-0.3
What bounds a book?;cover;Books are bound by a hard material made of paper called cover. Few pages are not hard material nad knowledge, many words and staples are not made of paper.;cover is the only thing that can be used to cover a book.;"Bound means covered with something else or fastened together by binding (or stitching). A book has two covers which binds them together along with pages inside forming a single unit called a book. There is no option like ""A book is";"supports: 3
overall: 3
well_written: 0
related: 1
factual: 1
new_info: 0
unnecessary_info: 0
contrastive: 1";"supports: 0
overall: 2
well_written: 0
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 0";"supports: 3
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 3
overall: 3
well_written: 1
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 3
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 1";"supports: 3
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 0
contrastive: 0";0.6;0.62;0.85;0.84;-0.52;-0.47
If you got a job as an undercover shopper you would buy products, then after doing a review you would what?;get money;Undercover shoppers are employees who get money for doing their job. They get money after doing reviews. Undercover shoppers do not compare prices or eat chicken after doing reviews. They also do not pay money or save money for doing their job.;undercover shopper is a job that requires you to buy products.;After buying product through your own expenses and giving reviews about them according to their quality, you will receive payment for your work which is called getting paid or receiving money. You won’t earn any money by being part-time shopping;"supports: 1
overall: 4
well_written: 1
related: 1
factual: 1
new_info: 2
unnecessary_info: 0
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 1
unnecessary_info: 1
contrastive: 0";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 2
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 1 
contrastive: 1";"supports: 2
overall: 3
well_written: 1
related: 1
factual: 1
new_info: 1
unnecessary_info: 0
contrastive: 0";"supports: 1
overall: 4
well_written: 0
related: 0
factual: 0
new_info: 0 
unnecessary_info: 1
contrastive: 1";"supports: 1
overall: 3
well_written: 0
related: 0
factual: 0
new_info: 0
unnecessary_info: 1
contrastive: 1";0.75;0.35;0.86;0.86;-0.6;-0.29
