Question,Choices,Ground Truth Explanation,Correct Choice,T5 Prediction,LLaMA Prediction
What drinking vessel can overflow if filled with too much water?,"riverbed, sewer, drain, creek, glass","A glass is a small vessel and if too much water is filled inside it, it overflows. All the other options are incorrect because they are not a type of drinking vessel.",glass,glass,glass
Where could there by tens of thousands of people playing baseball?,"america, canada, pitchers mitt, park, sporting goods store",America is a country with population 32 crores and tens of thousands of people comes under 32 crores so that many people paying baseball could be in america. Pitchers mitt is a glove and not a place and Canada people might not play baseball. The other options are small places to have tens of thousands of people.,america,america,america
"She sure didn't have a green thumb, every time she thought she was making grow something it would what?","growth, flowering, ground, die, plants","As she did not have green thumb, it meant that anything she put her hands on would not survive which means die. All other options are not related to her not having a green thumb.",die,die,die
If there are a lot of people waiting to order at the fast food restaurant where you decided to have lunch what must you do before you get to order?,"grab the food, get full, pouring coffee, getting in line, eath",A line is a sequence of people awaiting their turn to be attended to or to proceed. One needs to get in line if there are a lot of people waiting to order at the fast food restaurant. One cannot do all the other options when there are a lot of people ahead in a fast food restaurant.,getting in line,getting in line,Invalid Prediction
What could hydrogen be added to to cause it to explode?,"universe, chemistry lab, ocean, texas, air",Hydrogen when added to air it explodes. Universe doesn’t happen when hydrogen is added to it. Chemistry lab doesn’t happen when hydrogen is added to it. Ocean doesn’t happen when hydrogen is added to it. Texas doesn’t happen when hydrogen is added to it.,air,air,air
If you get in a fight after getting drunk where are you likely to end up?,"bar, jail, raise hell, liquor store, gutter",violenting with someone after getting drunk is crime andFor doing crime police takes you to jail. police doesn't take you to bar or liquor shop after violence. Getting in fight after drunk doesn't end in raising hell.You don't end up in gutter after fight.,jail,jail,jail
Where do most people get carrots?,"salad, store, cellar, supermarket, field","Carrots are sold in a store which is a building unlike a salad, cellar and field. Store usually only sells food while supermarket does not sell food alone.",store,store,store
What happens if you eat hamburger that's very big?,"hungry, choking, get full, lose weight, getting fat",You get full when you eat large meal and A very big hamberger is large meal for normal person.You cannot feel hungry after you eat a very big hamburger. Choking doesn't happen if you eat properly. you cannot lose weight by eating a very big hamburger.Eating any size of hamburger regularly can make you fat.,get full,get full,get full
"While moving the antique a wooden rod fell out, but since it was just part of the chimes what was still functional?","hardware store, old clock, broom closet, puzzle, old houses","An old clock is still functional since rod has fallen out of it. The chimes are present in old clocks. While moving the antique a wooden rod fell out, but since it was just part of the chimes so the old clock was still functional. Broom closet cant be functional. Puzzle is not functional or non functional. Hardware store dont have the chimes. The chimes is just not the part of the old houses.",old clock,old clock,hardware store
What causes hard breathing when you are sick,"live, sigh, blood, respiration, cough","Cough occurs when one is sick and it leads to hard breathing unlike sighing, living or respiration. Blood does not occur when one is sick.",cough,cough,cough
John didn't know why it was called blowing. You didn't blow.  There was no blowing.  What was done instead of blowing?,"sucking, breathe in, inhale, breathing in, sucking","Sucking means to blow hard into the mouth, which is the opposite of blowing. If there was no blowing, it means that sucking was taking place. Breathing and inhaling are not the exact opposite of blowing.",sucking,sucking,sucking
"If someone is fiddling a fiddle at random, what song are they likely to play next?","dancing about, unpredictable, being happy, troubles, they play cricket",Song can be predicted by its music but if artist is playing violin randomly then unpredictable song is likely to play.Dancing about cannot be the song that artist play always after random violin music. Being happy or Troubles is not suitable option here.They play cricket is not relevant option here.,unpredictable,unpredictable,unpredictable
A night owl is what you'd head at sunset and you'd hear a what at sunrise?,"morning person, early bird, lark, early riser, rooster",A lark is a bird that one can hear at sunrise. All the other options are not related to a night owl.,lark,lark,lark
Where can you buy eggs along side many other types of food?,"egg carton, supermarket, refridgerator, breakfast, chicken coop",supermarket have eggs and many variety of other food and supermarket is place where all food items are sold.egg carton doesnt have any other food but eggs.refridgerator is not place where eggs are sold. breakfast is meal not place where food item are sold.chicken coop doesnt have any other food item for sale.,supermarket,supermarket,supermarket
The child was taken against its will and what the parents?,"for or, away from, being for, because, for someone",Children's will is to generally live with their parents and against children's will would to be to take them away from parents. All the other options are not what happens when children are taken against their parents.,away from,away from,for someone
"The person answered the door when the mailman knocked, what likely happened next?","arm himself, cross street, feel sleepy, dog barked, receive mail","Mailman is a person who brings mail. When a mailman comes to one's door, the person usually receives mail. One does not arm himself when a mailman knocks on the door. People do not cross street when a mailman knocks on the door. Feel sleepy is an irrelevant option. Dogs do not always bark when a mailman knocks on the door.",receive mail,receive mail,receive mail
"The water spout wouldn't turn off.  Eventually, what was totally filled?","the kitchen, sink, fountain, access to water, florida",A sink can be found filled with water. As the water spout wouldn't turn off so eventually sink was totally filled. The kitchen cant be found filled with water. Fountain cant be filled if water sout wouldn't turn off. Access to water is not a correct option. Florida and water spout are not related to each other.,sink,sink,sink
What does a round glass do?,"break easily, many different colors, shattering, hold my doughnuts, hold water",A round glass is a container made to hold substances like liquids. So a round glass holds water. A round glass doesn't do anything else as given in the other options.,hold water,hold water,hold water
Where would you find cloth to sleep on?,"kitchen, linen closet, fabric store, bedroom, garage","Bedroom can have clothes and one sleeps in the bedroom and not in the kitchen, fabric store or a garage. Bedroom is a room in the house unlike a linen closet.",bedroom,bedroom,bedroom
Where would you find several businesses in the same location?,"park, skyscraper, art, big city, office building",An office business can have several businesses which can exist in the same location. Office building has a registered address unlike art or a big city. A part cannot have several businesses and a skyscraper need not only have businesses.,office building,office building,office building
what happens to a company when it is bankrupt?,"liquidated, own resources, branch out, commit crime, game over","When a company is bankrupt, its liquidated as its assets are converted into cash. A bankrupt company doesn’t have resources are its converted to cash. It can’t branch out nor commit crime as its not functioning being liquidated. Game over is not a valid answer because there is no game in a company going bankrupt.",liquidated,liquidated,liquidated
Where would you find a monitor wall that is used for watching moving lines?,"studios, security office, hospital, department store, guard station",A hospital has monitor walls with moving lines that show details of people like heartbeat etc. All the other options do not have moving lines that one can see.,hospital,hospital,hospital
"A person wants to be successful, the end goal is to what?","delicious food, self esteem, acquire wealth, compliments, eat dinner","People consider gaining wealth as becoming successful. When people want to successful, it usually means they want to acquire wealth. Delicious food is an irrelevant option. Self esteem has no relation to becoming successful. One does not aim to be successful to gain compliments. The ultimate goal of becoming successful is not eating dinner.",acquire wealth,acquire wealth,acquire wealth
What should my family and I look into getting if we don't want an egg from the supermarket?,"farm, henhouse, chicken coop, plate, bird's nest",hen house is shed for keeping poultry in and poultry gives you eggs and hen house doesnt require you to go supermarket for eggsfarm doesnt have pultry only.chicken coop are made in large poultry farms generally not in houses.plate cannot provide you eggs. bird's nest doesnt have eggs always.,henhouse,henhouse,henhouse
"Though the drawing of the object was ambiguous at best, the people playing the drawing game were able to identify the item because it was what?","certain, distinct, common, known, specific",Common means something prevalent and people will be able to identify something easily if it is prevalent. So the people were able to identify the object even when it was ambiguous because it was common. Something will be known when it is common and something ambiguous cannot be what the other options say.,common,common,common
Danny noticed a ceramic object on the table and picked a grape out of it.  What might have been on the table?,"kitchen, painting of fruits, fruit basket, bowl of fruit, fruit stand",Ceramic objects are made of clay and many tableware like fruit bowls are ceramic. Danny noticed the ceramic object of a bowl of fruit on table and picked a fruit out of it. One cannot pick out grape from painting of fruits and other options aren't ceramic objects.,bowl of fruit,bowl of fruit,fruit basket
What is rain a type of?,"snow, disneyland, air, weather, forest",Rain is type of a weather. Disneyland isnt a type of rain. Air dont fits here. Forest dont suits here. Rain is not a snow.,weather,weather,weather
"The news held a forum on who people would choose, they had a group that was what?","undecided, reject, predetermination, force, blank","There can be a group of undecided people and not blank people. Undecided refers to not making a decision while rejection, predetermination and forcing do not.",undecided,undecided,undecided
What device with a lens would be used to see distant stars and planets?,"camera, glasses, microscope, kaleidoscope, telescope","Telescope is an optical instrument designed to make distant objects appear nearer, containing an arrangement of lenses, or of curved mirrors and lenses, by which rays of light are collected and focussed and the resulting image magnified. The device with a lens called Telescope would be used to see distant stars and planets. Camera is a device to record images at nearby places and not of far space. Glasses is not a device to see distant stars and planets. Microscope is for small cells and not for seeing stars and planets. Kaleidoscope is a toy and you can see within it and not through it. So, you can’t see stars and planets with Kaleidoscope.",telescope,telescope,telescope
"Sam came to despise his sister.  On the other hand, she felt what for him?","love, worship, cherish, admire, honor","Admire is to regard with respect or warm approval. Sam came to despise his sister. On the other hand, she felt admire for him. Despise is to feel contempt or a deep repugnance for. Love is a deep affection and not the opposite feeling of despise which his sister had for him. Worship is adoration for a deity whereas Sam was her brother. Cherish is to protect and care whereas Sam came to despise his sister who had a complete opposite feeling for Sam and it was not cherish. Honor is not an opposite of Despise what Sam’s sister had for him.",admire,admire,admire
Justin couldn't dance long because he experienced what?,"meeting people, having fun, fatigue, manual, become tired",Justin couldn't dance long because he experienced fatigue. To dance long is not related with having fun or meeting people. A person dont experience to be mannual. Become tired cant be experienced.,fatigue,fatigue,fatigue
"She had a bad habit of washing hands over one thousand times a day, what did she experience as a result?","health, become wet, skin irritation, dry skin, medium",She experience dry skin as a result of washing hands over one thousand times a day. She had a bad habit of washing her hands again and again which results into the dry skin. Health is not due to a bad habit. To become wet is not a result that she experienced. She didnt experience skin irritation by washing hands again and again. Medium is not something to be experienced.,dry skin,dry skin,dry skin
cats have how many apendages?,"tail, whiskers, two eyes, four paws, four legs","Appendage refers to something that is attached. Four legs are attached to cats while four paws are not. Four legs are used to walk unlike tail, whiskers and two eyes.",four legs,four legs,four legs
"They were baking together, the instructions called for sugar so they got it out of the what?","hallway, every home, candy bar, soda pop, cupboard","They got sugar out of the cupboard. They were baking together and in cupboard the instructions was called for sugar. They might not sugar from the hallway. Instructions for sugar was not in every home. Out of candy bar or soda pop, they dont get sugar.",cupboard,cupboard,cupboard
Where do salesman work?,"front door, office space, car show, toy store, shop","Saleaman work ina shop. Sales take place at a shop, so salesman is required there. Frontdoor is not a place for someone to work. Salesman dont work at office or toy store. At carshow, there are no salesman.",shop,shop,shop
What can you use hear other people and be heard yourself?,"mouth, song, radio, ears, telephone","By using telephone, you can hear other people and get yourself be heard. Song is not a way to hear people. Radio is not used to be heard yourself.. With ears, you can hear other people but they cant hear you by your ears. Mouth cant help you to hear other people.",telephone,telephone,telephone
The cat was annoying because it would not leave James alone.  Whenever he locked himself down for work it would find its way into where?,"microwave, meat loaf, outside, backyard, bedroom",One can work from the bedroom and not from outside or from the backyard. Bedroom is a room in the house unlike a microwave and meat loaf. Cats can find their way into the bedroom.,bedroom,bedroom,bedroom
"They said they started what at first sight, well before their first kiss?","falling in love, fall in love, smile, embrace, asking questions","Falling in love is the development of strong feelings of attachment and love, usually towards another person. They said they started falling in love at first sight, well before their first kiss. Fall in love is not what started well before their first kiss, as it is about first sight before their first kiss. Smile is not what started well before their first kiss, as smiling at each other never always result in kissing. Embrace is not what started well before their first kiss, as it is not what happens in first sight. Asking questions is not what started well before their first kiss, as nobody starts asking questions at first sight.",falling in love,falling in love,falling in love
"It is hard to predict a rebound in basketball, this is because the ball and rim are what?","dribbling, full of air, bouncing around court, punctured, round","Round means to be circular in shape like the ball and rim in basketball, making it hard to predict a rebound. Rim can neither be punctured nor is full of air. Rim isn’t a ball to do the other options.",round,round,round
If you answering questions you only get credit if you're what?,"teaching, correct, satisfaction, clear, discussion",Credit means acknowledgement or praise given to someone when they are correct. So if you are answering questions you only get credit if you are correct. Answering questions can also be done without teaching and the other options does not give one credit while answering questions.,correct,correct,teaching
"Danny thought that the show was divine.   Lila disagreed.  She didn't think it was bad, but she thought it was what?","godless, horrible, undivine, humdrum, mortal","Humdrum means lacking excitement or variety; boringly monotonous. Danny thought that the show was divine. Lila disagreed. She didn't think it was bad, but she thought it was humdrum. Danny thought that the show was divine means it was not godless. Danny thought that the show was divine while Lila didn’t think it bad means it wasn’t horrible. Danny thought that the show was divine means it was not undivine. It is about the show or a display and they are non-living things and cannot be termed as mortal or immortal.",humdrum,humdrum,humdrum
A percussion instrument can be obtained in what sort of place?,"marching band, pawn shop, orchestra, music store, own home",A percussion instrument means any instrument that makes a sound when it is hit. Such instruments are usually tuned and used to compose music. Such musical instruments are obtained in a music store. Marching band does not sell perscussion instruments. Pawn shops usually do not have musical instruments.Orchestra is not a place. People usually do not always have percussion instruments in their own homes.,music store,music store,music store
"He had only experienced tangible and corporeal events in his life, but the hippy girl opened up his what side?","insubstantial, mind, intangible, ethereal, spiritual",Experiences are generally two types which are caused by spiritual and corporeal events. The hippy girl opened up his spiritual side. Insubstantial and mind are not sides of a person and the other options come under spiritual.,spiritual,spiritual,spiritual
James was contemplating the research results.  What was James doing?,"thinking, discovery, buzzing, understanding, reflection","James was contemplating and thinking deeply about the research results. Contemplating answers to problems leads to discovery and excitement to buzzing and meaning to understanding, and not search results. Contemplating to think leads to reflection.",thinking,thinking,Invalid Prediction
where can you sit to work on your needlepoint near your front door?,"thread, artscraft store, sewing, livingroom, frame","One can sit inliving room while working on needlepoint. Also, a living room is the nearest to front door. All the other options are incorrect as one cannot sit there.",livingroom,livingroom,livingroom
"I have some food that I want to eat right now, where would I put it?","cup, kitchen, pantry, jar, plate",Most of the Food needs to be put on plate before being eaten as Plate can be used to put the food.Food cannot be put in cup as cup is used to put the liquid items.Food cannot be put in the kitchen when person wants to eat right now. Food cannot be put in the pantry when person wants to eat right now as pantry is for storing the food. Food cannot be put in the jar before eating as jar is used to store the food.,plate,plate,plate
Where might informational pamphlets be found?,"health department, library, bookstore, drawer, mail box","Out of all the options, the most fesiable place is a library thta has a collection of various phamplets on all type of information. A library is a sure shot place to have informational phampalets. All the other options are not fesiable as they might not have all types of informational phamplets.",library,library,library
What can an adult do that a young child cannot in the morning?,"give up, dress herself, drink beer, work, marry",An adult can dress herself in the morning. A young child cannot dress herself. An adult person cant give up or drink beer or marry in the morning. Work might not be done in the morning by an adult.,dress herself,dress herself,dress herself
"Billy likes eating breakfast in bed, but he doesn't do it often.  He likes his clean sheets too much. Why doesn't he eat breakfast in bed that often?","pleasure, indigestion, convenience, spills, feel guilty",Eating breakfast in bed regularly have more chances that you can spill on bedsheet andBilly likes clean bedsheet.Spill bedsheet doesn't give pleasure.Eating in bed doesn't cause indigestion always.eating in bed cannot be as convenient as eating on dining table.eating in bed doesn't make you guilty.,spills,spills,spills
If you're standing in line and the line isn't moving what might you feel?,"order, queueing up, wait turn, fatigue, anger",People feel angry when they hate something. People hate waiting in line therefore they feel anger. All other options are not feelings.,anger,anger,anger
Where is a razor likely to be found on vacation?,"suitcase, barber shop, box cutter, psycho's pocket, medicine cabinet",A razor is likely to be found in suitcase on vacations. Box cutter is not available on vacation. A razor cant be found in a psycho's pocket. Barber shop or medicine cabinet is not found on vacation.,suitcase,suitcase,suitcase
If you have beans while eating breakfast you may experience what?,"fullness, indigestion, gas, gain energy, stomach ache",Beans is gassy food andYou may experience gas if you eat gassy food.You feel fullness after eating any food.Beans doesn't cause indigestion. You gain energy from all the food.Beans doesn't cause stomach ache usually.,gas,gas,gas
Where could you put a dollar that would make it hard to get out without breaking?,"cash drawer, piggy bank, purse, box, pocket","Piggy bank is a money box, typically one shaped like a pig. You could put a dollar in a piggy bank that would make it hard to get out without breaking. Cash drawers are wide mouthed from where you can easily take out or keep in a dollar. Putting dollar in a purse is also easy to get it out as you can put your hand completely in it. Boxes aren’t usually used to put a dollar but even though if you keep it you can get it out so easily. Pockets can be surfed by our hands and so pocket isn’t the hard option.",piggy bank,piggy bank,cash drawer
"The man tried to run, but he could not. He could that he could only move by doing what?","stand, go quickly, walking, stand still, walk slowly","A person moves by walking and a person who could not run can only walk. One cant move by merely standing or standing still. He cant run, so he cant go quickly. Walking is always slow only.",walking,walk slowly,walk slowly
"God rested after building a lot of stuff, so what did he build?","compassion, everything, wall, church, imagination",God is considered to have built the entire universe so god built everything. Compassion and imagination cannot be built and the other options are not a lot of stuff.,everything,everything,everything
Why do people socialize when they first get a new job?,"meet new people, make friends, small talk, get a raise, talk to people","People meets new people at new job. When they first get a new job, people socialize because they meet new people. People dont socialize for a small talk. At job, a person might not make friends. People might not get a raise by socialising at a new job. A job is not a place where people gets socialize to talk to people.",meet new people,meet new people,meet new people
Why does a bodybuilder eat so much?,"pleasant conversation, store food for winter, satisfy hunger, sounds of digestion, gain weight",Body builder needs to gain muscle in bulking phase soGainig muscle requires to eat more calories and result in gaining weight. Eating so much doesn't give you pleasant conversation.Body builder cannot store food in his body for winter. eating so much is not required to satisfy the hunger.Person doesn't eat lot of food for sounds of digestion,gain weight,satisfy hunger,gain weight
"He kept throwing the stick away, but thanks to the dog the stick would always what?","stay here, present, being here, come back, come here","Dogs generally play a game of fetch and when one throws something away, dogs come back with it, So thanks to the dog the stick always comes back. Come here comes under come back and the stick will be present even if there was no dog. The stick won't be what the other options say after throwing it away.",come back,come back,come back
"He was on tilt and losing hand after hand, the playing cards were causing him great what?","happiness, anger, having fun, amusement, relief","When one loses a game after a game, they get irritated and hence get angry as they lose. All the other options are not what is caused when one loses hand after hand in a card game hence are incorrect.",anger,anger,anger
On what would you use a knob to change settings?,"opening doors, control panel, a cellphone, television, doorway",Control panel is a metal box which contains important electrical devices that control and monitor a mechanical process electrically. We would use a knob on control panel to change settings. Opening doors has a knob but aren’t used for change settings but for opening doors. A cell phone doesn’t have a knob on it to change settings. Television has the control panel with a knob which is used to change settings. Doorway has a knob to open and close the door but can’t be used to change settings.,control panel,control panel,control panel
"He got tickets to go to performance of his idol, he had a lot of what for him?","experience, statue, applaud, admiration, make reservations",Admiration means respect and warm approval. He got tickets to the performance of his idol because he had a lot admiration for him. One cannot have a lot what is given in the other options for an idol.,admiration,admiration,admiration
What is a parents primary duty?,"speak freely, happiness of a child, care for children, school child, control children",Parents are always affectionate towards their child. Affection leads to caring. Good parenting starts with caring for your own child. Speaking freely is not a primary duty. Happiness of a child may not always be beneficial for valuable life lessons. Controlling a child sometimes has a negative outcomes. School child is an irrelevant option.,care for children,care for children,care for children
What could guns do which could be illegal?,"distract police from a r3al crime., take life, misfire, arm robbers, break",Take life means killing someone which is illegal according to the law. Guns are weapons that can shoot bullets from it which can kill someone. Using guns to kill is a real crime and guns may not do other options which could be illegal.,take life,take life,take life
Where might you feel cramped in a cubicle?,"work, bank, constructing office space, home office, office building",Work is an activity involving mental or physical effort done in order to achieve a purpose of result. We might feel cramped in a cubicle at work. Cramped means uncomfortably small whereas bank are spacious and well-designed. Constructing office space means it is under construction where there cannot be a cubicle. Home office is a workspace at home and doesn’t need a cubicle. Office building is a set of offices and are not divided in cubicles.,work,work,office building
What do you do to weapons when you want to gather them?,"stockpile, buy, plentitude, superabundance, oversupply",When you want weapons just to gather them then you are doing its stockpile. You dont gather the weapons because you want to buy them. Weapons are not gathered for the purpose of oversupply. Superabundance or plentitude is not an activity,stockpile,stockpile,stockpile
John wants to buy a writing instrument and paperclips. Where would be go?,"desk drawer, office supply store, writer's hand, stationery store, purse","Writing instrument and paperclipps are office material. As John wants to buy a writing instrument and paperclips so he would go to the office supply store. From desk dwrawer, a person cant buy writing instrument and paperclips. Writer's hand is not a place from where office things can be purchased. At stationery store these items might not be available. Purse is not a place from where office things can be purchased.",office supply store,office supply store,office supply store
In what place could you find air that has been breathed by only a few people recently?,"train station, house, cupboard, cricket stadium, surface of earth",House is a building where families generally live and a family consists of a few people. So House is where one could find air freshly breathed by only a few people. There won't be any people in a cupboard and all the other options have a lot of people.,house,house,house
What is a place that sells suntan lotion but not food or medicine?,"mini mall, shop, grocery store, pharmacy, drugstore","Shop is a place. Suntan lotion can be purchased from a shop. Food or medicines are not available at any shop. At mini mall, food is also available. Suntan lotion is not available at grocery store. At pharmacy or drugstore, medicines are available",shop,shop,shop
"When a kid is ready for school, what do admissions counselors say about him?","student, leave home, register, see work, old enough","All schools have an age condition for kids to join them in their schools, so the admissions counselors say that the kid is old enough when they are ready for school. A student is someone who already goes to school and going to school doesn't mean leaving home. Registration is not something about a kid and kids don't go see work.",old enough,old enough,student
What does a robot need to be able to be working?,"energh, job, concentration, energy, compensation","Energy is required in working. A robot need energy to be able to be working. Energh is not any word. Robot dont do the job. As robot is a machine so it does not require concentration while working. While working, compensation is not needed to be done.",energy,energy,energy
What would use a classical stringed instrument?,"concert, music store, string quartet, rock band, barbershop",String quartet would use a classical stringed instrument. Rock band or music store dont use a classical stringed instrument. A classical stringed instrument is not used at barbershop or concert.,string quartet,string quartet,concert
"The laser light hurt his eyes, how would he describe it?","forceful, darkness, cumbersome, crucial, cold",Forceful means strong and assertive; vigorous and powerful. The laser light hurt his eyes; he would describe it forceful. Darkness is absence of light andthe laser light was hurting his eyes means there was light and not darkness. Cumbersome is unwieldy and it is all about how he would describe the hurting laser light which is not bulky. Crucial is critical whereas the laser light hurting the eyes can’t be crucial. The laser light was hurting his eyes means it wasn’t cool for him.,forceful,forceful,forceful
What is the largest state with a coast in the US?,"new york, florida, california, country, united states",California is the 3rd largest state in terms of area which also contains coastal line. New York and Florida are smaller states in comparison to California in teams of area and other options are not states,california,california,california
Sam left his muddy shoes in the entryway.  Where might he be?,"department store, school, garden, office building, house","At house's entryway, shoes are left. Sam left his muddy shoes in the entryway of house. There is no entryway in a garden. Someone might not left their muddy shoes in entryway of office building or school or department store.",house,house,house
"When a person is convicted of committing murder, what happend to them?","go to jail, imprisonment, sadness, prosecution, incarceration","Is person commits murder, he has to undergo court sessions and when convicted, one has to undergo incarciration. Going to jail and undergoing proceeding is the pre-event of the conviction of the offence like murder. Imprisonment can also be unlawful to restrain someone's freedom and sadness is not the feeling which depends on conviction of muder.",incarceration,imprisonment,imprisonment
What do drugs do?,"damage, cloud mind, lower i.q, cause illness, cause accidents","Drugs changes your state mind and you may feel confusion, hallucination or aggression and Changed state of mind cause accident if you are driving after taking drugs. Damage happens to organs if you take for long time. Drugs may not cloud your mind if dosage is low.Drugs may not lower your i.q. permannently.Drugs dont cause illness immediately.",cause accidents,cause accidents,damage
"The star was lonely, what did it wish it was part of?","hollywood, night sky, constellation, atmosphere, solar system",A constellation is a group of stars. Since the star was lonely so it wish that it was a part of constellation. Hollywood dont suits here. Night sky is not a correct option. The star might not wish to be a part of atmosphere. A lonely star is not a part of solar system.,constellation,constellation,constellation
Who was the head of the branch yelling at?,"owner, foot, subordinate, base, point",Subordinate means a lower rank or position and higher rank people generally yell at lower rank people. Head of the branch is a higher rank to subordinate. Head of the branch cannot yell at owner as owner owns the branch and all the other options are not people to be yelled at.,subordinate,owner,subordinate
Where does someone lay with their leg elevated when it's broken?,"spinning wheel, on a ladder, hospital bed, legroom, grand piano","Hospital bed is a bed having side rails that can be raised or lowered and a mattress base in three jointed sections so that the head, foot or middle may be raised by a crank or motor, allowing a patient to lie in various positions, as a therapeutic aid or for comfort. Someone lay with their leg elevated in a hospital bed when it's broken. Spinning wheel is not for patients to lie-down with their leg elevated. Ladder is used for climbing up or down and not for someone laying with their leg elevated. Legroom is space for a seated person to put his legs and not for someone to lay with their leg elevated. Grand piano is a musical instrument and not a bed to lay down for someone with broken leg.",hospital bed,hospital bed,hospital bed
"The gun was uncomfortable tucked in her pants, where did she put it?","drawer, holster, crime scene, police helicopter, police station",A holster is a holder for carrying a handgun or other firearm and a gun comes under a handgun or firearm. All the other options are not appropriate places for a gun.,holster,holster,holster
"His shot was bad and he found himself stabbing to death the buck, it was what everywhere?","bleeding, killing, coughing, imprisonment, mess","Due to his bad shot, it was bleeding everywhere. He found himself stabbing to death the buck and it results into bleeding everywhere because his shot was bad. There cant be killing everywhere. Coughing is not a correct option. Mess dont suits here. Just because of a bad shot, a person might not get imprisonment.",bleeding,bleeding,bleeding
Where will you find an automobile that has broken down?,"fast lane, for sale, racetrack, side of road, freeway",Automobile has broken down means it has stopped while driving and side of road is a place where automobile stops while driving. So one can find an automobile that has broken down on the side of a road. Freeway also has a side of road and the other options are not places where one would find automobiles that are broken down.,side of road,side of road,side of road
What do people in love do after they get married?,"last forever, reproduce, hurt, obstruct justice, get","When two people in love get married, physical attraction leads them to reproduce. All other options are not valid as not all marriages last forever wheras hurt is not realted to just marraige. Other two options are grammatically incomplete.",reproduce,reproduce,reproduce
"The sloppy dad saw the random stuff in the kitchen, and didn't know where to put it, where did he decide to place it?","anything, cupboard, michigan, table, cabinet",The random stuff is placed in cabinet in the kitchen. The sloppy dad didn't know where to put the random stuff in the kitchen so he decided to place it at the cabinet. Anything is not a place where random stuff can be put. Cupboard might not be found in the kitchen. The sloppy dad didn't place random stuff at michigan. The random stuff cant be placed on the table.,cabinet,cabinet,cabinet
He leaned the beam over the flooded gap to create a makeshift what?,"warehouse, bridge, metal shop, shop, new construction",Bridge is a structure making a path between two ends with a gap and leaning a beam over the flooded gap will create a path that is a makeshift bridge. New construction comes under a bridge and leaning a beam will not create what’s given in the other options.,bridge,bridge,bridge
John is getting something important.  What does this make him feel?,"then have, headaches, stoic, being happy, wanting more","People become happy and content on receiving something valuable. Receiving something important doesn't make people stoic, and doesn't necessarily cause headaches or make people want more.",being happy,being happy,being happy
What in a car could have an led?,"electronics, dashboard, electronic equipment, display, pc board","Dashboard is the panel facing the driver of a vehicle or the pilot of an aircraft. Dashboard in a car could have an LED. Electronics is a branch of study and not an equipment to be placed on a dashboard. Electronic equipment is the type of electronic device and not the component. Display is the display technology. LCD, LED, ELD, PDP and QLED are the different types of display technology. PC board is a printed circuit board and it is not found on car dashboards.",dashboard,dashboard,display
"The excavation workers had to take extra care to stay hydrated, what landscape might they be working?","city, montana, egypt, store, desert",The excavation workers need to stay hydrated in desert. They might be working in desert landscape and had to take extra care. Excavation worker might not be working in city. Montana or store is not landscape. The excavation worker dont take extra care while working in egypt.,desert,desert,desert
"The person was shocked when the FBI talked to her about some facebook posts, what did the person want?","money, food and water, freedom of information, compliments, freedom of expression",A person has the right to express their thoughts abd beliefs on a social platform in a democratic country. The FBI has no right threaten him or capture him due to some facebook posts. A person usually does not expect money or compliments from the FBI. FBI is not a restaurant where one can get food and water. One cannot get freedom of information from the FBI.,freedom of expression,freedom of information,freedom of expression
"There are different kinds of Meningitis, but it is an illness that affects the what?","brain, nursing home, nail, hospital, doctor's office","Meningitis is an illness that affects the brain as there is a swelling in meninges a part or portion of brain. While nursing home, Hospital and Doctor’s office being nonrelative terms and nail not a meninges.",brain,brain,brain
"The padding was covered with mold, he never would've seen it if he didn't pull up the what?","refrigerator, carpet, fridge, dishwasher, cellar",A carpet can be pulled up and one can see mold below it. All the other options are incorrect as they cannot be pulled up.,carpet,carpet,carpet
Where do people go if they are looking for a taxi?,"apartment, street corner, space shuttle, public place, garden",Taxis are usually parked at the street corner when it has no rides. People can usually find a taxi at the street corner if they are looking for one. People usually cannot find a taxi at an apartment. Space shuttle is an irrelevant option. Public place is a very vague answer. Taxi is generally not parked in a garden.,street corner,street corner,street corner
"All the movies always portray gasoline as the commodity, but he was convinced a garden would be the most valuable in a what?","driveway, parking lot, desert, hop garden, wasteland","A wasteland is an unused area of land that has become barren or overgrown. Hence he was convinced that a garden would be the most valuable in a wasteland, though all movies always portray gasoline as the commodity. A garden won't be the most valuable in a hop garden. A garden cannot be started in any of the places in the other options.",wasteland,wasteland,wasteland
"Since we aren't immortal, people should what?","expect to die, pay bills, buy pets, stay in, eat corn","Immortals are people who can never die. Mortals are people who can die. Humans are not immortals, hence they can die at some point. Paying bills is not related to not being an immortal. People usually do not buy pets because they are not immortals. People usually do not stay in only because they are not immortals. Eat corn is an irrelevant option.",expect to die,expect to die,stay in
"Sean wanted to go to the Met, so he took a subway stop in what city?","new york city, toronto, large city, large city, metropolis","In a new york city, there is the Met. As Sean wanted to go to the Met, so he took a subway stop in new york city. There is no Met in large city or toronto or metropolis.",new york city,new york city,new york city
"The woman was yelling obscenities in public, and while it was entertaining for people passing by, what did her husband feel?","happiness, embarrassment, fatigue, fulfillment, enjoyment",wife's yelling at husband in public entertains other people passing by and you feel embarrassment when people have fun of you. yelling cannot give happiness to husband if his wife is yelling. you dont feel fatigue due to yelling of other. fulfillment is not feeling you can have when someone is yelling. you cannot enjoy when your spouce is yelling,embarrassment,embarrassment,embarrassment
